i,freq
0,27633353
1,10103473
2,6709533
3,4846621
4,3775724
5,3154844
6,2788401
7,2601105
8,2505348
9,2464776
10,2434031
11,2447843
12,2456809
13,2494018
14,2527230
15,2590654
16,2638416
17,2694013
18,2755087
19,2810131
20,2860414
21,2717926
22,2591364
23,2450575
24,2302230
25,2157175
26,2027672
27,1907870
28,1774897
29,1659087
30,1529125
31,1416661
32,1285651
33,1174813
34,1062620
35,955104
36,851260
37,737464
38,633889
39,537294
40,436110
41,328637
42,320309
43,311980
44,304942
45,298952
46,291996
47,284676
48,278020
49,270738
50,264677
51,255787
52,249135
53,240003
54,230999
55,221729
56,213461
57,205455
58,196984
59,188165
60,180227
61,172597
62,166365
63,163070
64,158574
65,156406
66,152769
67,149638
68,147146
69,144321
70,141162
71,138545
72,135349
73,131623
74,128113
75,124719
76,121118
77,117299
78,113956
79,110963
80,106453
81,103332
82,100447
83,97332
84,96127
85,94356
86,92981
87,90465
88,90008
89,88644
90,86419
91,85510
92,83845
93,82159
94,80719
95,79154
96,77321
97,75388
98,73692
99,72354
100,70595
101,68905
102,67586
103,64887
104,63742
105,63561
106,62136
107,61468
108,60081
109,60007
110,59216
111,57523
112,57252
113,55892
114,54898
115,54264
116,53027
117,52156
118,51621
119,50022
120,48863
121,48286
122,47407
123,46445
124,45462
125,44718
126,44151
127,0
