i,freq
0,14872526
1,667246
2,238163
3,176354
4,121408
5,88246
6,53653
7,36158
8,13050
9,7732
10,4640
11,4188
12,2801
13,2736
14,2640
15,2456
16,1914
17,2277
18,1932
19,6169
20,2183
21,1772
22,1772
23,2029
24,1696
25,1572
26,1644
27,1506
28,1506
29,1855
30,1457
31,1532
32,1307
33,1491
34,1355
35,1504
36,1224
37,1300
38,1288
39,1357
40,1136
41,1368
42,1155
43,1307
44,1088
45,1399
46,1104
47,1215
48,1120
49,1275
50,1104
51,1154
52,1074
53,1156
54,1060
55,1191
56,1072
57,1125
58,1056
59,1174
60,1151
61,1175
62,1085
63,1105
64,1010
65,1110
66,1039
67,1088
68,1138
69,1106
70,1089
71,1010
72,1057
73,1074
74,1082
75,1063
76,1104
77,1173
78,1276
79,1184
80,1110
81,1081
82,1178
83,1050
84,1070
85,1010
86,1060
87,1068
88,1112
89,1024
90,1158
91,1032
92,1124
93,1111
94,1172
95,1022
96,1017
97,1030
98,1175
99,1074
100,1271
101,1039
102,1024
103,1125
104,1049
105,1031
106,951
107,1179
108,998
109,1125
110,1030
111,1066
112,1117
113,1125
114,994
115,1028
116,995
117,1011
118,987
119,962
120,923
121,1060
122,1025
123,1031
124,914
125,1078
126,1093
127,0
