i,freq
0,2599464
1,2369620
2,1600946
3,1604288
4,935332
5,1106343
6,631692
7,777140
8,594797
9,554947
10,423041
11,600979
12,364947
13,418653
14,428869
15,407654
16,319182
17,366521
18,309170
19,357612
20,309749
21,281055
22,287806
23,320640
24,270756
25,262506
26,265527
27,259656
28,251710
29,261515
30,235336
31,246529
32,221681
33,233122
34,233316
35,233287
36,202943
37,222703
38,210753
39,219445
40,201135
41,213656
42,195745
43,212360
44,189451
45,202184
46,193092
47,204156
48,180690
49,202899
50,182274
51,192655
52,178276
53,199987
54,178956
55,187673
56,174373
57,191067
58,181367
59,185913
60,171216
61,185269
62,180566
63,181926
64,172810
65,181714
66,177933
67,181665
68,178025
69,181449
70,176237
71,178782
72,176952
73,181001
74,179829
75,177956
76,175065
77,178517
78,178433
79,176855
80,176831
81,178989
82,176311
83,177993
84,173781
85,175285
86,174721
87,177591
88,173030
89,177835
90,169226
91,173845
92,171565
93,174502
94,166734
95,171505
96,163138
97,169117
98,165308
99,168680
100,161594
101,168927
102,159605
103,165411
104,160776
105,163106
106,156544
107,166832
108,156564
109,161380
110,157718
111,157351
112,153706
113,159965
114,153191
115,156976
116,156408
117,154414
118,152910
119,155922
120,152109
121,153149
122,155399
123,153460
124,154285
125,157955
126,154672
127,0
