i,freq
0,285105
1,40037
2,22886
3,15378
4,11874
5,9332
6,7329
7,6084
8,5515
9,4809
10,4009
11,3579
12,3240
13,2906
14,2807
15,2439
16,2159
17,2112
18,1958
19,1765
20,1690
21,1598
22,1395
23,1342
24,1271
25,1145
26,1133
27,1068
28,1076
29,917
30,863
31,813
32,833
33,778
34,729
35,677
36,704
37,655
38,609
39,607
40,559
41,502
42,477
43,534
44,465
45,458
46,440
47,415
48,419
49,404
50,382
51,342
52,374
53,320
54,306
55,300
56,325
57,315
58,301
59,301
60,283
61,253
62,293
63,243
64,239
65,265
66,227
67,232
68,240
69,229
70,208
71,190
72,211
73,225
74,191
75,164
76,181
77,175
78,162
79,159
80,136
81,160
82,140
83,137
84,112
85,148
86,137
87,115
88,132
89,112
90,145
91,133
92,106
93,112
94,97
95,104
96,106
97,117
98,113
99,115
100,165
101,169
102,164
103,192
104,245
105,251
106,223
107,242
108,251
109,232
110,208
111,210
112,183
113,192
114,180
115,202
116,208
117,179
118,170
119,192
120,179
121,169
122,177
123,162
124,158
125,169
126,182
127,0
