i,freq
0,35570332
1,3802234
2,2189015
3,2118213
4,2138253
5,2187467
6,2283950
7,2382323
8,2529775
9,2665348
10,2779127
11,2876687
12,2930217
13,2866922
14,2685210
15,2437935
16,2223308
17,2031072
18,1862398
19,1677981
20,1521586
21,1339047
22,1132554
23,945292
24,782956
25,645247
26,567239
27,469941
28,401946
29,334620
30,326287
31,318697
32,311358
33,303126
34,295566
35,286853
36,277275
37,270954
38,263029
39,256617
40,249382
41,243790
42,237672
43,232543
44,226961
45,221997
46,218650
47,214871
48,209928
49,205174
50,200992
51,198351
52,193173
53,190174
54,186462
55,182078
56,179386
57,176204
58,171928
59,169225
60,165937
61,162751
62,159036
63,157793
64,154158
65,151555
66,148999
67,146750
68,144321
69,142091
70,138877
71,137415
72,135557
73,132928
74,131023
75,128625
76,126135
77,124452
78,123187
79,121650
80,120400
81,118477
82,116201
83,115136
84,113488
85,111582
86,110228
87,108067
88,107495
89,105801
90,104201
91,103269
92,102374
93,100413
94,99848
95,98968
96,97267
97,95808
98,95433
99,93657
100,92443
101,91255
102,89452
103,88855
104,87715
105,86855
106,86728
107,84741
108,84772
109,83520
110,82778
111,81734
112,80840
113,80116
114,79590
115,77789
116,77349
117,76394
118,75802
119,74991
120,74293
121,73904
122,73442
123,72135
124,72056
125,70908
126,70593
127,0
