i,freq
0,608612
1,511742
2,501738
3,494428
4,486074
5,477847
6,471675
7,463521
8,457632
9,449580
10,442903
11,433692
12,429271
13,425099
14,415011
15,405368
16,377997
17,365804
18,356013
19,347968
20,340484
21,332021
22,322524
23,316585
24,308939
25,304241
26,299379
27,295161
28,289995
29,285953
30,284709
31,280315
32,276928
33,274866
34,272463
35,269514
36,273320
37,264701
38,261540
39,267522
40,256989
41,254845
42,260960
43,252494
44,248521
45,250077
46,244059
47,241848
48,247683
49,239416
50,236641
51,233560
52,232466
53,231621
54,230771
55,226524
56,225233
57,223053
58,222054
59,221005
60,220943
61,217535
62,215889
63,214665
64,213818
65,211830
66,210901
67,209510
68,208900
69,207300
70,207640
71,204645
72,224330
73,205974
74,207799
75,205061
76,201301
77,197085
78,196676
79,194349
80,195279
81,192570
82,191733
83,189723
84,192504
85,187655
86,187086
87,186400
88,185093
89,184144
90,182755
91,190961
92,180447
93,178825
94,178693
95,178217
96,191919
97,177618
98,188365
99,180101
100,176662
101,174372
102,172618
103,170857
104,176593
105,169781
106,167820
107,167010
108,166964
109,165208
110,164534
111,163913
112,166365
113,162943
114,161628
115,160495
116,159273
117,159892
118,158182
119,157733
120,157249
121,156266
122,155371
123,154596
124,154310
125,153192
126,152494
127,0
