i,freq
0,327594
1,273994
2,273042
3,278569
4,288658
5,303170
6,315611
7,333659
8,349702
9,366424
10,379979
11,398252
12,414092
13,431266
14,448914
15,470015
16,490976
17,509216
18,529752
19,548911
20,568585
21,546008
22,530330
23,506211
24,486422
25,462311
26,443859
27,427437
28,405927
29,387503
30,364557
31,347940
32,327254
33,306479
34,287942
35,269383
36,251212
37,231448
38,212457
39,196899
40,179636
41,161332
42,157685
43,157210
44,155826
45,154558
46,153458
47,151774
48,151687
49,150304
50,148013
51,146025
52,144447
53,142920
54,138580
55,135795
56,133196
57,129787
58,126779
59,124930
60,122887
61,120036
62,118310
63,118184
64,116536
65,115939
66,115098
67,114894
68,114445
69,113437
70,113502
71,112340
72,112271
73,109591
74,107350
75,106862
76,105038
77,103047
78,100838
79,99105
80,97255
81,95525
82,93401
83,91265
84,90456
85,89774
86,88677
87,88595
88,87402
89,86751
90,86006
91,84927
92,84591
93,83305
94,82890
95,81587
96,80268
97,80159
98,78081
99,76570
100,75325
101,74791
102,73575
103,72246
104,71507
105,70445
106,69593
107,68842
108,68007
109,67334
110,66735
111,66218
112,64789
113,64785
114,63458
115,62466
116,61448
117,60737
118,59399
119,59175
120,57973
121,56541
122,55544
123,55123
124,53594
125,53146
126,52239
127,0
