i,freq
0,670679
1,1632860
2,3128063
3,4097376
4,3205403
5,1394044
6,1085137
7,851464
8,779866
9,356136
10,245584
11,242911
12,224999
13,268661
14,192212
15,178492
16,157100
17,270285
18,158364
19,152464
20,169689
21,160572
22,193504
23,169076
24,147054
25,131693
26,187125
27,170795
28,119175
29,134921
30,122669
31,214263
32,128147
33,108038
34,106416
35,182982
36,127912
37,102786
38,122220
39,109290
40,159326
41,123226
42,98601
43,98156
44,126716
45,133736
46,87782
47,105322
48,89880
49,149080
50,103168
51,88543
52,84219
53,111670
54,109941
55,88329
56,93900
57,80924
58,109091
59,104122
60,70084
61,69173
62,90646
63,124342
64,70104
65,74063
66,70490
67,104994
68,83579
69,62261
70,69896
71,82268
72,90586
73,68436
74,70692
75,64386
76,75599
77,86103
78,57200
79,59234
80,64191
81,90567
82,56248
83,64955
84,56874
85,63782
86,69570
87,56001
88,57220
89,58770
90,74463
91,59187
92,53380
93,49680
94,55521
95,77382
96,48099
97,47193
98,55098
99,71009
100,48226
101,48008
102,49032
103,54568
104,67008
105,48046
106,45644
107,50078
108,55980
109,54783
110,42930
111,41715
112,42526
113,65463
114,45497
115,42574
116,46364
117,53295
118,46010
119,44926
120,40903
121,38915
122,58583
123,43882
124,36452
125,39225
126,42280
127,0
