i,freq
0,147845
1,188215
2,264334
3,317803
4,283436
5,228636
6,214155
7,210544
8,271745
9,197261
10,175259
11,190853
12,194672
13,224998
14,175713
15,164833
16,154740
17,224881
18,151028
19,151653
20,171119
21,156568
22,174846
23,158766
24,144632
25,138246
26,171199
27,161357
28,130664
29,140113
30,135859
31,178365
32,131330
33,123126
34,124185
35,175668
36,133568
37,119692
38,132699
39,125390
40,150780
41,136270
42,118625
43,116926
44,135502
45,138888
46,112629
47,122658
48,112275
49,149922
50,122244
51,110371
52,108355
53,130917
54,126772
55,110164
56,112917
57,108217
58,124881
59,122051
60,100159
61,100309
62,117945
63,137088
64,96323
65,100826
66,102495
67,128607
68,108309
69,92604
70,102001
71,114238
72,111452
73,96134
74,100510
75,97958
76,105172
77,113121
78,92367
79,95010
80,99797
81,113355
82,86054
83,100417
84,92850
85,98842
86,103226
87,92049
88,91795
89,92524
90,103464
91,94135
92,89446
93,89317
94,94136
95,108065
96,82697
97,81362
98,92841
99,107044
100,83835
101,85833
102,85179
103,94196
104,104668
105,81857
106,81507
107,87915
108,94373
109,91812
110,80121
111,81610
112,83633
113,102101
114,80682
115,78996
116,86638
117,94611
118,84147
119,85365
120,78536
121,79515
122,96095
123,79670
124,76156
125,81916
126,85481
127,0
