i,freq
0,9669944
1,499489
2,186664
3,103370
4,69198
5,52464
6,42381
7,35788
8,30924
9,27438
10,24878
11,22477
12,21049
13,19560
14,18314
15,17329
16,16898
17,15844
18,15217
19,14697
20,14345
21,13997
22,13436
23,13214
24,12920
25,12584
26,12359
27,12399
28,11938
29,11702
30,11620
31,11541
32,11273
33,11192
34,11042
35,10787
36,10809
37,10698
38,10582
39,10421
40,10713
41,10202
42,10197
43,10245
44,10176
45,10009
46,9876
47,9820
48,9552
49,9575
50,9425
51,9565
52,9515
53,9379
54,9212
55,9316
56,9130
57,9306
58,9086
59,8857
60,8968
61,8823
62,8921
63,8807
64,8619
65,8710
66,8539
67,8587
68,8430
69,8292
70,8310
71,8333
72,8351
73,8158
74,8030
75,8123
76,7794
77,7957
78,7643
79,7541
80,7758
81,7718
82,7570
83,7531
84,7512
85,7289
86,7216
87,7093
88,7214
89,7209
90,6959
91,6993
92,6897
93,6791
94,6716
95,6727
96,6775
97,6637
98,6628
99,6445
100,6474
101,6392
102,6461
103,6305
104,6148
105,6096
106,6078
107,6068
108,6039
109,6132
110,6050
111,6071
112,6090
113,6018
114,5802
115,5945
116,5692
117,5643
118,5739
119,5714
120,5455
121,5582
122,5498
123,5351
124,5431
125,5406
126,5519
127,0
