i,freq
0,298054
1,40085
2,37037
3,37345
4,39443
5,40008
6,41450
7,41388
8,42289
9,41976
10,41645
11,41192
12,40789
13,40333
14,40014
15,38824
16,37929
17,37839
18,36840
19,36085
20,35644
21,35207
22,34493
23,34032
24,33819
25,33197
26,33009
27,32200
28,31685
29,31094
30,30679
31,30159
32,29336
33,28960
34,28661
35,28451
36,27654
37,27243
38,26880
39,26737
40,25957
41,25905
42,25145
43,24672
44,24463
45,23915
46,24243
47,23428
48,23225
49,22601
50,22310
51,22169
52,22297
53,21830
54,21739
55,21371
56,21287
57,21135
58,21013
59,20950
60,20693
61,20446
62,20366
63,20004
64,20061
65,19892
66,20055
67,19925
68,19696
69,19512
70,19685
71,19686
72,19214
73,18958
74,18986
75,18945
76,19077
77,19005
78,18866
79,18681
80,18626
81,18346
82,18282
83,18219
84,18271
85,18410
86,17984
87,17953
88,17570
89,18067
90,17886
91,17807
92,17913
93,17510
94,17450
95,17495
96,17603
97,17373
98,17343
99,17158
100,17186
101,16844
102,17066
103,16741
104,16667
105,16596
106,16555
107,16511
108,16693
109,16537
110,16734
111,16401
112,16477
113,16621
114,16533
115,16560
116,16548
117,16302
118,16293
119,16113
120,15999
121,16245
122,16180
123,16238
124,16070
125,16143
126,15866
127,0
