i,freq
0,39785
1,31493
2,28781
3,26066
4,25006
5,23381
6,22492
7,21408
8,21003
9,20620
10,19605
11,19381
12,18718
13,18644
14,18523
15,17782
16,17534
17,16854
18,16888
19,16745
20,15955
21,16081
22,15624
23,15628
24,15561
25,15242
26,14754
27,14726
28,14878
29,14373
30,14206
31,14018
32,14090
33,14045
34,13698
35,13573
36,13526
37,13481
38,13465
39,13333
40,12784
41,12767
42,12923
43,12964
44,12475
45,12504
46,12389
47,12146
48,12200
49,11926
50,12041
51,11908
52,11737
53,11755
54,11676
55,11668
56,11383
57,11617
58,11486
59,11258
60,11288
61,10781
62,10963
63,11197
64,11200
65,10941
66,10924
67,11055
68,10876
69,10717
70,10382
71,10754
72,10503
73,10625
74,10544
75,10482
76,10409
77,10381
78,10421
79,10091
80,10145
81,9880
82,9923
83,10125
84,9860
85,9518
86,9744
87,9648
88,9913
89,9467
90,9424
91,9507
92,9652
93,9443
94,9315
95,9665
96,9478
97,9132
98,9496
99,9360
100,9388
101,9314
102,9291
103,9225
104,9190
105,9089
106,8986
107,9078
108,8829
109,8823
110,8917
111,8881
112,8822
113,8590
114,8751
115,8830
116,8899
117,8697
118,8651
119,8684
120,8660
121,8789
122,8586
123,8645
124,8749
125,8745
126,8473
127,0
