i,freq
0,3640972
1,1924625
2,599590
3,365956
4,240530
5,259209
6,215578
7,240976
8,208848
9,223123
10,202039
11,220575
12,198795
13,209757
14,193956
15,203692
16,189014
17,194309
18,186756
19,190240
20,183024
21,183747
22,178807
23,181241
24,175067
25,175094
26,174262
27,174049
28,171287
29,169355
30,166644
31,167753
32,164240
33,164307
34,160938
35,162735
36,156500
37,159135
38,153931
39,159592
40,150835
41,155945
42,149006
43,152699
44,145536
45,148212
46,142321
47,146092
48,140403
49,141745
50,137942
51,139024
52,136859
53,137600
54,135419
55,135867
56,133832
57,131843
58,130771
59,130093
60,129579
61,126179
62,127984
63,124309
64,126891
65,123217
66,123326
67,121915
68,121632
69,121658
70,120388
71,120578
72,119177
73,118366
74,118304
75,116803
76,117385
77,115025
78,116237
79,114677
80,114302
81,112271
82,112820
83,111575
84,112056
85,109656
86,110361
87,107668
88,109163
89,107677
90,107582
91,106387
92,105543
93,105623
94,103677
95,105113
96,101714
97,103946
98,100064
99,102853
100,98555
101,101873
102,97735
103,99230
104,97037
105,98082
106,97762
107,96858
108,96254
109,95732
110,95327
111,93970
112,94273
113,92682
114,92922
115,92087
116,91539
117,90431
118,90119
119,89390
120,89324
121,88198
122,88460
123,87370
124,87840
125,86546
126,86487
127,0
