i,freq
0,309281
1,443216
2,346698
3,417919
4,343504
5,387971
6,339420
7,371031
8,334512
9,349012
10,324815
11,344547
12,320001
13,330566
14,310959
15,322795
16,306056
17,309529
18,299728
19,304922
20,294536
21,293724
22,287601
23,290421
24,281901
25,282134
26,275994
27,276975
28,271703
29,271380
30,266388
31,267283
32,261527
33,260434
34,256573
35,258379
36,250539
37,253270
38,245304
39,251123
40,241447
41,246653
42,237428
43,240821
44,233182
45,236196
46,228933
47,232808
48,226829
49,225869
50,221858
51,221612
52,219519
53,218119
54,216151
55,215164
56,212156
57,210400
58,208716
59,206463
60,205501
61,201028
62,203013
63,196801
64,200049
65,194313
66,194966
67,193572
68,192171
69,191855
70,190179
71,189373
72,187356
73,186302
74,186567
75,183539
76,184311
77,181641
78,182504
79,180255
80,179737
81,179251
82,177349
83,176042
84,176285
85,172767
86,174237
87,170447
88,172927
89,169675
90,170143
91,169682
92,167453
93,167327
94,164299
95,166476
96,161819
97,165197
98,159764
99,161842
100,158103
101,160515
102,156401
103,158592
104,154991
105,155710
106,153596
107,153618
108,152361
109,151499
110,151671
111,149579
112,149590
113,147691
114,146402
115,146114
116,146058
117,144062
118,144124
119,142422
120,142457
121,140906
122,141721
123,138807
124,138967
125,139020
126,137603
127,0
